program_id,ts_minute,batches_created,pieces_processed,weight_processed_g
5,2025-06-05T12:06:00Z,7,108,32580
5,2025-06-05T12:07:00Z,8,119,36925
5,2025-06-05T12:08:00Z,8,111,33449
5,2025-06-05T12:09:00Z,5,119,36523
5,2025-06-05T12:10:00Z,5,95,27569
5,2025-06-05T12:11:00Z,8,96,29440
5,2025-06-05T12:12:00Z,6,130,41096
5,2025-06-05T12:13:00Z,6,114,34852
5,2025-06-05T12:14:00Z,7,103,31935
5,2025-06-05T12:15:00Z,5,88,26719
5,2025-06-05T12:16:00Z,7,101,31204
5,2025-06-05T12:17:00Z,7,106,31992
5,2025-06-05T12:18:00Z,5,93,27446
5,2025-06-05T12:19:00Z,6,87,25909
5,2025-06-05T12:20:00Z,3,84,24914
5,2025-06-05T12:21:00Z,8,101,30272
5,2025-06-05T12:22:00Z,6,97,28195
5,2025-06-05T12:23:00Z,4,93,27594
5,2025-06-05T12:24:00Z,5,96,27968
5,2025-06-05T12:25:00Z,2,19,5773
5,2025-06-05T12:26:00Z,1,17,4846
5,2025-06-05T12:27:00Z,3,20,5921
5,2025-06-05T12:28:00Z,0,30,8998
5,2025-06-05T12:29:00Z,2,46,13973
5,2025-06-05T12:30:00Z,4,53,15739
5,2025-06-05T12:31:00Z,4,67,20544
5,2025-06-05T12:32:00Z,5,61,19711
5,2025-06-05T12:33:00Z,4,60,18282
5,2025-06-05T12:34:00Z,1,52,15591
5,2025-06-05T12:35:00Z,6,52,15588
5,2025-06-05T12:36:00Z,0,40,11426
5,2025-06-05T12:37:00Z,5,41,12053
5,2025-06-05T12:38:00Z,0,44,12652
5,2025-06-05T12:39:00Z,4,46,13836
5,2025-06-05T12:40:00Z,3,38,11213
5,2025-06-05T12:41:00Z,2,46,13771
5,2025-06-05T12:42:00Z,1,43,12456
5,2025-06-05T12:43:00Z,5,38,10957
5,2025-06-05T12:44:00Z,3,26,7269
6,2025-06-11T06:02:00Z,0,59,9295
6,2025-06-11T06:03:00Z,2,93,15586
6,2025-06-11T06:04:00Z,4,92,15376
6,2025-06-11T06:05:00Z,5,99,16089
6,2025-06-11T06:06:00Z,3,102,17172
6,2025-06-11T06:07:00Z,4,108,18378
6,2025-06-11T06:08:00Z,4,114,18685
6,2025-06-11T06:09:00Z,4,115,17944
6,2025-06-11T06:10:00Z,4,103,16679
6,2025-06-11T06:11:00Z,2,93,15105
6,2025-06-11T06:12:00Z,4,120,19711
6,2025-06-11T06:13:00Z,6,118,19870
6,2025-06-11T06:14:00Z,4,120,19955
6,2025-06-11T06:15:00Z,4,120,19939
6,2025-06-11T06:16:00Z,5,116,19463
6,2025-06-11T06:17:00Z,3,109,18057
6,2025-06-11T06:18:00Z,6,111,18769
6,2025-06-11T06:19:00Z,0,82,13592
6,2025-06-11T06:20:00Z,6,126,20126
6,2025-06-11T06:21:00Z,4,111,18007
6,2025-06-11T06:22:00Z,4,128,21329
6,2025-06-11T06:23:00Z,4,118,18758
6,2025-06-11T06:24:00Z,2,93,15678
6,2025-06-11T06:25:00Z,5,92,15783
6,2025-06-11T06:26:00Z,3,128,22951
6,2025-06-11T06:27:00Z,5,141,26571
6,2025-06-11T06:28:00Z,6,141,25847
6,2025-06-11T06:29:00Z,5,135,25072
6,2025-06-11T06:30:00Z,6,130,23914
6,2025-06-11T06:31:00Z,4,140,26267
6,2025-06-11T06:32:00Z,5,138,25066
6,2025-06-11T06:33:00Z,6,136,24865
6,2025-06-11T06:34:00Z,6,133,24931
6,2025-06-11T06:35:00Z,6,143,26658
6,2025-06-11T06:36:00Z,5,134,25195
6,2025-06-11T06:37:00Z,6,144,27289
6,2025-06-11T06:38:00Z,5,145,27479
6,2025-06-11T06:39:00Z,7,137,25538
6,2025-06-11T06:40:00Z,5,140,26500
6,2025-06-11T06:41:00Z,4,98,18373
6,2025-06-11T06:42:00Z,4,134,25631
6,2025-06-11T06:43:00Z,6,143,27348
6,2025-06-11T06:44:00Z,7,142,27357
6,2025-06-11T06:45:00Z,3,132,25530
